Rk,Player,NationFixed,Nation,Pos,Squad,AgeFixed,Age,Born,MatchesPlayed,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
142,Mohamed Elneny,,EGY,MF,Arsenal,30,30-204,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0
143,Mohamed Elyounoussi,,NOR,MFFW,Southampton,28,28-180,1994,19,16,1355,15.1,0,1,0,0,0,3,0,2.5,2.5,1.9,4.5
144,Emerson,,BRA,DF,Tottenham,24,24-017,1999,16,13,1090,12.1,1,1,1,0,0,1,1,1.1,1.1,0.3,1.4
145,Christian Eriksen,,DNK,MF,Manchester Utd,30,30-351,1992,19,18,1489,16.5,1,7,1,0,0,3,0,2.7,2.7,3,5.7
146,Pervis Estupiñán,,ECU,DF,Brighton,25,25-010,1998,16,13,1081,12,0,2,0,0,0,3,0,0.1,0.1,2,2.1
147,Jonny Evans,,NIR,DF,Leicester City,35,35-028,1988,9,9,810,9,0,0,0,0,0,0,0,0.2,0.2,0,0.2
148,Eberechi Eze,,GBR,MFFW,Crystal Palace,24,24-216,1998,20,19,1511,16.8,3,3,3,0,0,1,0,2.4,2.4,2.8,5.2
149,Łukasz Fabiański,,POL,GK,West Ham,37,37-288,1985,20,20,1693,18.8,0,0,0,0,0,0,0,0,0,0,0
150,Fabinho,,BRA,MF,Liverpool,29,29-100,1993,18,14,1253,13.9,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9
151,Wout Faes,,BEL,DF,Leicester City,24,24-303,1998,14,14,1260,14,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7
152,João Félix,,PRT,FW,Chelsea,23,23-082,1999,1,1,57,0.6,0,0,0,0,0,0,1,0.8,0.8,0.2,1
153,Evan Ferguson,,IRL,FW,Brighton,18,18-104,2004,5,2,199,2.2,3,2,3,0,0,1,0,1.2,1.2,0.3,1.4
154,Bruno Fernandes,,PRT,MFFW,Manchester Utd,28,28-145,1994,19,19,1708,19,4,4,4,0,0,5,0,3.3,3.3,6.7,10
155,Mateo Fernández,,ESP,MF,Leeds United,19,19-104,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
156,Roberto Firmino,,BRA,FWMF,Liverpool,31,31-121,1991,13,11,929,10.3,7,3,7,0,0,0,0,4.2,4.2,1.8,6
157,Junior Firpo,,ESP,DF,Leeds United,26,26-162,1996,3,1,117,1.3,0,0,0,0,0,0,0,0,0,0.1,0.1
158,Phil Foden,,GBR,FWDF,Manchester City,22,22-248,2000,18,13,1045,11.6,7,4,7,0,0,1,0,3.7,3.7,2,5.7
159,Wesley Fofana,,FRA,DF,Leicester City,22,22-045,2000,2,2,180,2,0,0,0,0,0,1,0,0.1,0.1,0,0.1
160,Wesley Fofana,,FRA,DF,Chelsea,22,22-045,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0
161,Pablo Fornals,,ESP,FWMF,West Ham,26,26-343,1996,17,11,943,10.5,1,0,1,0,0,0,0,0.8,0.8,1.1,1.9
162,Adam Forshaw,,GBR,MF,Leeds United,31,31-115,1991,5,2,159,1.8,0,0,0,0,0,0,0,0,0,0.5,0.5
163,Fraser Forster,,GBR,GK,Tottenham,34,34-320,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0
164,Tyrese Francois,,AUS,FW,Fulham,22,22-199,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,Ryan Fraser,,GBR,FW,Newcastle Utd,28,28-341,1994,8,3,313,3.5,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7
166,Fred,,BRA,MF,Manchester Utd,29,29-332,1993,17,5,583,6.5,2,0,2,0,0,4,0,1.3,1.3,1.1,2.3
167,Ryan Fredericks,,GBR,DF,Bournemouth,30,30-113,1992,8,5,451,5,0,0,0,0,0,1,0,0,0,0.1,0.1
