Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
198,Luke Harris,wls WAL,MFFW,Fulham,17-303,2005,3,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8c3078cd
199,Jack Harrison,eng ENG,FWMF,Leeds United,26-072,1996,17,15,1184,13.2,1,4,1,0,0,2,0,2.4,2.4,2.5,4.9,aa849a12
200,Kai Havertz,de GER,FWMF,Chelsea,23-234,1999,19,17,1411,15.7,5,1,5,0,0,3,0,5.4,5.4,1.4,6.8,fed7cb61
201,Jan Paul van Hecke,nl NED,DF,Brighton,22-237,2000,2,1,80,0.9,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4fd08daa
202,Hwang Hee-chan,kr KOR,FW,Wolves,27-005,1996,16,8,649,7.2,0,1,0,0,0,1,0,0.4,0.4,0.9,1.3,169fd162
203,Dean Henderson,eng ENG,GK,Nott'ham Forest,25-325,1997,18,18,1620,18.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,e5a76dfe
204,Jordan Henderson,eng ENG,MF,Liverpool,32-228,1990,16,10,893,9.9,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,935e6b8f
205,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-007,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76eca7e2
206,Rico Henry,eng ENG,DF,Brentford,25-207,1997,19,19,1705,18.9,0,1,0,0,0,0,0,0.5,0.5,1.1,1.7,8a3c1dc7
207,Son Heung-min,kr KOR,MFFW,Tottenham,30-207,1992,19,18,1555,17.3,4,3,4,0,0,1,0,4.9,4.9,3.0,7.9,92e7e919
208,Aaron Hickey,sct SCO,DF,Brentford,20-235,2002,9,8,679,7.5,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,1780bb4a
209,Joseph Hodge,ie IRL,MF,Wolves,20-139,2002,5,1,169,1.9,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,bd8a5d95
210,Rob Holding,eng ENG,DF,Arsenal,27-133,1995,6,0,19,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d79a8c87
211,Mason Holgate,eng ENG,DF,Everton,26-101,1996,4,3,320,3.6,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,d0042ab9
212,Will Hughes,eng ENG,MF,Crystal Palace,27-289,1995,14,1,250,2.8,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,a0666d3e
213,Omari Hutchinson,eng ENG,FW,Chelsea,19-093,2003,1,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,bd9553e6
214,Pierre Højbjerg,dk DEN,MF,Tottenham,27-179,1995,20,20,1781,19.8,4,2,4,0,0,2,0,1.4,1.4,1.8,3.3,8b04d6c1
215,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-120,1996,14,1,301,3.3,1,1,1,0,0,0,0,1.6,1.6,0.7,2.2,c92e1a31
216,Danny Ings,eng ENG,FW,West Ham,30-192,1992,1,0,19,0.2,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,07802f7f
217,Danny Ings,eng ENG,FW,Aston Villa,30-192,1992,18,8,824,9.2,6,0,4,2,2,3,0,5.3,3.8,1.2,5.0,07802f7f
218,Alexander Isak,se SWE,FW,Newcastle Utd,23-132,1999,5,3,284,3.2,3,0,2,1,1,0,0,3.2,2.4,0.5,2.9,8e92be30
219,Alex Iwobi,ng NGA,MF,Everton,26-273,1996,20,20,1782,19.8,1,5,1,0,0,2,0,1.2,1.2,2.7,4.0,6ca5ec4b
220,Daniel James,wls WAL,FW,Leeds United,25-082,1997,4,2,198,2.2,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,c931d9f9
221,Daniel James,wls WAL,FW,Fulham,25-082,1997,12,3,360,4.0,1,0,1,0,0,0,0,1.3,1.3,0.3,1.6,c931d9f9
222,Reece James,eng ENG,DFMF,Chelsea,23-054,1999,8,7,611,6.8,1,1,1,0,0,3,0,0.8,0.8,1.6,2.4,1265a93a
223,Vitaly Janelt,de GER,MFDF,Brentford,24-266,1998,20,14,1319,14.7,2,1,2,0,0,1,0,1.9,1.9,0.8,2.7,8449d35e
224,Pontus Jansson,se SWE,DF,Brentford,31-352,1991,7,6,515,5.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,172e52d8
225,Mathias Jensen,dk DEN,MF,Brentford,27-030,1996,20,20,1504,16.7,2,4,2,0,0,3,0,0.9,0.9,2.1,3.0,0f134faf
226,Gabriel Jesus,br BRA,FW,Arsenal,25-303,1997,14,14,1219,13.5,5,5,5,0,0,4,0,7.7,7.7,2.8,10.6,b66315ae
227,Raúl Jiménez,mx MEX,FW,Wolves,31-271,1991,6,3,294,3.3,0,0,0,0,0,0,0,1.0,1.0,0.4,1.4,b561db50
228,Joelinton,br BRA,MFFW,Newcastle Utd,26-170,1996,18,17,1510,16.8,2,1,2,0,0,7,0,3.2,3.2,1.8,5.1,c17bfb65
229,Ben Johnson,eng ENG,DF,West Ham,23-007,2000,8,6,498,5.5,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,9319781b
230,Brennan Johnson,wls WAL,FW,Nott'ham Forest,21-253,2001,20,18,1616,18.0,4,2,3,1,2,4,0,5.8,4.2,2.5,6.7,0cd31129
231,Curtis Jones,eng ENG,MFFW,Liverpool,22-001,2001,6,1,189,2.1,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4fb9c88f
232,Jorginho,it ITA,MF,Chelsea,31-042,1991,18,15,1279,14.2,2,0,0,2,2,4,0,1.7,0.1,0.4,0.5,45db685d
233,Diogo Jota,pt POR,FWMF,Liverpool,26-058,1996,4,2,196,2.2,0,1,0,0,0,1,0,0.8,0.8,0.8,1.6,178ae8f8
234,James Justin,eng ENG,DF,Leicester City,24-342,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,fb614c44
235,Mathias Jørgensen,dk DEN,DF,Brentford,32-283,1990,12,8,736,8.2,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,0db5d2c8
236,Sasa Kalajdzic,at AUT,FW,Wolves,25-208,1997,1,1,45,0.5,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,15f24fe7
237,Boubacar Kamara,fr FRA,MF,Aston Villa,23-069,1999,14,13,1114,12.4,0,1,0,0,0,3,0,0.2,0.2,0.2,0.4,cc77354e
238,Harry Kane,eng ENG,FW,Tottenham,29-187,1993,21,21,1875,20.8,16,1,14,2,3,4,0,11.8,9.4,3.3,12.8,21a66f6a
239,N'Golo Kanté,fr FRA,MF,Chelsea,31-308,1991,2,2,174,1.9,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,b9fbae28
240,Michael Keane,eng ENG,DF,Everton,30-020,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c5b7c315
241,Neeskens Kebano,cd COD,FW,Fulham,30-327,1992,12,9,713,7.9,0,3,0,0,0,0,0,0.5,0.5,1.4,1.8,18b999f4
242,Thilo Kehrer,de GER,DF,West Ham,26-132,1996,15,15,1350,15.0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,51dbeea9
243,Naby Keïta,gn GUI,MF,Liverpool,27-355,1995,5,1,183,2.0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,f25c8e3a
244,Lloyd Kelly,eng ENG,DF,Bournemouth,24-117,1998,10,10,900,10.0,0,2,0,0,0,2,0,0.1,0.1,0.1,0.3,f31def1e
245,Max Kilman,eng ENG,DF,Wolves,25-253,1997,20,20,1800,20.0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.6,d0f72bf1
246,Mateusz Klich,pl POL,MFFW,Leeds United,32-232,1990,14,0,280,3.1,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,282679b4
247,Robin Koch,de GER,DF,Leeds United,26-198,1996,19,19,1662,18.5,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,ea6bc03a
248,Ibrahima Konaté,fr FRA,DF,Liverpool,23-251,1999,5,4,382,4.2,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5ed9b537
249,Ezri Konsa,eng ENG,DF,Aston Villa,25-100,1997,20,19,1702,18.9,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,0313a347
250,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-225,1991,14,12,1115,12.4,2,0,2,0,0,5,1,0.8,0.8,0.4,1.2,da974c7b
251,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,33-041,1989,12,9,704,7.8,1,0,1,0,0,2,0,0.3,0.3,0.6,1.0,8d3c902d
252,Mateo Kovačić,hr CRO,MF,Chelsea,28-270,1994,15,7,835,9.3,0,1,0,0,0,3,0,0.4,0.4,1.1,1.6,79c0821a
253,Emil Krafth,se SWE,DF,Newcastle Utd,28-182,1994,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77cf6852
254,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-281,2000,13,11,967,10.7,2,5,2,0,0,0,0,1.2,1.2,2.7,4.0,df3cda47
255,Layvin Kurzawa,fr FRA,DF,Fulham,30-149,1992,2,2,134,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,41e7ef1c
256,Adam Lallana,eng ENG,MFFW,Brighton,34-266,1988,16,12,722,8.0,2,1,2,0,0,0,0,0.9,0.9,1.0,1.9,99813635
257,Tariq Lamptey,gh GHA,DF,Brighton,22-123,2000,16,1,320,3.6,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,f4e433d4
258,Manuel Lanzini,ar ARG,MFFW,West Ham,29-350,1993,5,1,126,1.4,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,26f6dca8
259,Aymeric Laporte,es ESP,DF,Manchester City,28-249,1994,5,4,376,4.2,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,119b9a8e
260,Juan Larios,es ESP,DF,Southampton,19-019,2004,5,2,152,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,cf7fb13a
261,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-081,1993,4,1,107,1.2,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,450ab6fc
262,Roméo Lavia,be BEL,MF,Southampton,19-025,2004,11,9,741,8.2,1,0,1,0,0,3,0,0.2,0.2,0.2,0.4,ecad9aa5
263,Dexter Lembikisa,jm JAM,DF,Wolves,19-088,2003,1,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0bdda685
264,Mario Lemina,ga GAB,MF,Wolves,29-152,1993,2,1,84,0.9,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2b471f99
265,Clément Lenglet,fr FRA,DF,Tottenham,27-228,1995,13,11,935,10.4,0,2,0,0,0,2,0,0.6,0.6,0.6,1.2,4f28a6ff
266,Bernd Leno,de GER,GK,Fulham,30-333,1992,19,19,1710,19.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2628fd2b
267,Jefferson Lerma,co COL,MFDF,Bournemouth,28-098,1994,20,20,1793,19.9,2,0,2,0,0,3,0,1.2,1.2,0.4,1.6,9b5ce51a
268,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-006,1998,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,efb9215a
269,Rico Lewis,eng ENG,DFMF,Manchester City,18-071,2004,8,4,363,4.0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,b57e066e
270,Keane Lewis-Potter,eng ENG,FWMF,Brentford,21-343,2001,9,3,306,3.4,0,1,0,0,0,0,0,0.5,0.5,1.2,1.7,41f08ac8
271,Victor Lindelöf,se SWE,DF,Manchester Utd,28-198,1994,6,4,439,4.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,f5deef4c
272,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-047,1992,14,11,861,9.6,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,810e3c74
273,Diego Llorente,es ESP,DF,Leeds United,29-168,1993,8,7,649,7.2,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,bba30585
274,Hugo Lloris,fr FRA,GK,Tottenham,36-036,1986,20,20,1800,20.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8f62b6ee
275,Renan Lodi,br BRA,DF,Nott'ham Forest,24-298,1998,12,11,919,10.2,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,ed9f7cfe
