Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
480,Joel Ward,eng ENG,DF,Crystal Palace,33-094,1989,16,14,1295,14.4,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,8a7ff278
481,James Ward-Prowse,eng ENG,MF,Southampton,28-091,1994,20,20,1800,20.0,5,2,5,0,1,2,0,2.6,1.6,3.8,5.5,3515d404
482,Ollie Watkins,eng ENG,FW,Aston Villa,27-032,1995,19,18,1538,17.1,4,4,4,0,0,1,0,5.9,5.9,2.1,8.0,aed3a70f
483,Adam Webster,eng ENG,DF,Brighton,28-027,1995,14,13,1171,13.0,0,0,0,0,0,1,0,1.3,1.3,0.0,1.3,c40b6180
484,Wout Weghorst,nl NED,FW,Manchester Utd,30-177,1992,2,2,158,1.8,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,c4e87b8b
485,Danny Welbeck,eng ENG,FW,Brighton,32-066,1990,15,12,1086,12.1,1,2,1,0,0,0,0,4.3,4.3,2.4,6.7,ce5143da
486,Ben White,eng ENG,DF,Arsenal,25-115,1997,19,19,1509,16.8,0,2,0,0,0,4,0,0.3,0.3,1.1,1.4,35e413f1
487,Harvey White,eng ENG,MF,Tottenham,21-134,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4d90ce8c
488,Neco Williams,wls WAL,DF,Nott'ham Forest,21-293,2001,20,12,1126,12.5,0,0,0,0,0,3,0,0.9,0.9,1.3,2.3,dd323728
489,Willian,br BRA,FW,Fulham,34-175,1988,14,12,1060,11.8,2,2,2,0,0,0,0,2.2,2.2,1.8,4.0,8b9ebd03
490,Joe Willock,eng ENG,MF,Newcastle Utd,23-164,1999,20,18,1484,16.5,2,2,2,0,0,0,0,3.3,3.3,3.4,6.7,a3b03921
491,Callum Wilson,eng ENG,FW,Newcastle Utd,30-338,1992,15,13,1038,11.5,6,3,5,1,1,3,0,7.3,6.6,1.4,8.0,c596fcb0
492,Harry Wilson,wls WAL,FW,Fulham,25-315,1997,12,3,331,3.7,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,c6dc9ecd
493,Yoane Wissa,cd COD,FW,Brentford,26-150,1996,20,8,844,9.4,4,1,4,0,0,2,0,3.0,3.0,1.4,4.4,2500cef9
494,Maximilian Wöber,at AUT,DF,Leeds United,24-361,1998,2,1,115,1.3,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4b803b3c
495,Chris Wood,nz NZL,FW,Newcastle Utd,31-055,1991,18,4,446,5.0,2,0,1,1,1,0,0,1.8,1.0,0.3,1.3,4e9a0555
496,Chris Wood,nz NZL,FW,Nott'ham Forest,31-055,1991,1,1,74,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4e9a0555
497,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-021,1997,16,12,1167,13.0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,a5212312
498,Granit Xhaka,ch SUI,MF,Arsenal,30-126,1992,19,19,1616,18.0,3,5,3,0,0,3,0,2.0,2.0,3.7,5.6,e61b8aee
499,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-071,1997,18,16,1392,15.5,0,1,0,0,0,4,0,2.2,2.2,1.1,3.3,c1fe2a48
500,Ashley Young,eng ENG,DF,Aston Villa,37-206,1985,16,12,1134,12.6,1,0,1,0,0,3,0,0.2,0.2,0.7,0.9,be927d03
501,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-082,1992,19,19,1661,18.5,6,2,6,0,2,3,0,5.1,3.3,2.4,5.7,b2bc3b1f
502,Denis Zakaria,ch SUI,MF,Chelsea,26-072,1996,4,4,286,3.2,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,384d58d9
503,Jordan Zemura,zw ZIM,DF,Bournemouth,23-078,1999,14,12,1037,11.5,0,1,0,0,0,1,0,0.2,0.2,1.4,1.6,e8271ad9
504,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-047,1996,12,11,901,10.0,0,1,0,0,0,1,0,0.7,0.7,0.5,1.2,51cf8561
505,Hakim Ziyech,ma MAR,FWMF,Chelsea,29-318,1993,10,4,428,4.8,0,1,0,0,0,0,0,0.5,0.5,1.2,1.7,6622454d
506,Kurt Zouma,fr FRA,DF,West Ham,28-096,1994,15,15,1274,14.2,1,0,1,0,0,0,0,1.1,1.1,0.0,1.1,ce4246f5
507,Martin Ødegaard,no NOR,MF,Arsenal,24-045,1998,18,18,1518,16.9,8,5,8,0,0,3,0,5.5,5.5,5.0,10.4,79300479
